Event_ID,Plot_ID,Site_Name,State_Code,Loc_Name,Start_Date,Target_Species,Plot_Name,Spp_Name,MotileInvert_spp,Measurement
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,16
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,17
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,17
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,17
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,17
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,18
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,20
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{D9FAEF06-C909-4C2B-83B2-CF3850F44CC1},Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,22
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{B0B857F3-2B60-42E5-A24D-27173424DB14},Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B1,Common periwinkle (Littorina littorea),LITLIT,28
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{0222FD09-7735-48B5-A03B-4F1B9FFA1467},Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B2,Smooth periwinkle (Littorina obtusata),LITOBT,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{0222FD09-7735-48B5-A03B-4F1B9FFA1467},Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B2,Common periwinkle (Littorina littorea),LITLIT,25
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,8
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Common periwinkle (Littorina littorea),LITLIT,8
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,8
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Common periwinkle (Littorina littorea),LITLIT,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,9
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,10
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,10
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,11
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,11
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,11
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,12
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,12
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,12
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,12
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,13
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Smooth periwinkle (Littorina obtusata),LITOBT,13
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Limpet (Tectura testudinalis),TECTES,13
{3F21A576-2949-4C40-A1F6-C22EE46A8DD7},{385C9D6C-F949-4B2A-A346-57C0183E1DAA},Acadia NP,ME,Bass Harbor,6/21/2013,Fucus,F1,Common periwinkle (Littorina littorea),LITLIT,14
