GroupCode,GroupName,UnitCode,UnitName,SiteCode,SiteName,StartDate,Species,Abundance,Notes,IsPointCUI
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/29/2016,Human,36,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/29/2016,Oystercatcher,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/29/2016,Cormorant,3,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/29/2016,Tern,2,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/29/2016,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Human,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Snowy Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Dog,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Cormorant,1,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Other Birds,33,31 Eiders; 2 loons,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Large shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Small shorebird,2,killdeer,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Great Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Pelican,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Oystercatcher,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Seal,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Tern,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,5/20/2022,Gull,21,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/20/2014,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/20/2014,Large shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,SHIHAR,Ship Harbor,6/20/2014,Seal,0,None,FALSE
